Alpha,Theta,Response,Time
1.0,1.0,1.0,1.0
22.666666666666664,-15.333333333333332,-643.8666666666667,0.005317211151123047
20.0,-18.666666666666664,-643.8666666666667,0.011356353759765625
17.333333333333332,-20.0,-404.34097186390727,0.01635599136352539
14.333333333333332,-20.666666666666664,-404.34097186390727,0.021383047103881836
11.666666666666666,-21.666666666666664,-77.1258103478705,0.026441574096679688
8.666666666666666,-22.0,-77.1258103478705,0.03157687187194824
6.333333333333333,-22.333333333333332,94.92001917292038,0.03657793998718262
4.333333333333333,-22.666666666666664,94.92001917292038,0.04146456718444824
2.6666666666666665,-22.666666666666664,94.92001917292038,0.046341896057128906
1.3333333333333333,-22.666666666666664,142.09393938785604,0.05131220817565918
0.0,-22.666666666666664,142.09393938785604,0.05662369728088379
-1.0,-22.333333333333332,165.56423342570687,0.061573028564453125
-2.0,-22.333333333333332,165.56423342570687,0.06646561622619629
-2.333333333333333,-22.0,165.56423342570687,0.07139325141906738
-2.6666666666666665,-22.0,139.3431933995343,0.07635021209716797
-3.0,-21.666666666666664,139.3431933995343,0.08117485046386719
-3.0,-21.666666666666664,139.3431933995343,0.08620333671569824
-2.6666666666666665,-21.666666666666664,71.76363868355574,0.09121131896972656
-2.333333333333333,-21.333333333333332,71.76363868355574,0.09628582000732422
-2.0,-21.333333333333332,18.31253443742513,0.1007230281829834
-1.3333333333333333,-21.0,18.31253443742513,0.10255265235900879
-1.3333333333333333,-21.0,18.31253443742513,0.10437750816345215
-1.0,-21.0,18.31253443742513,0.10620713233947754
-0.6666666666666666,-21.0,18.31253443742513,0.10803723335266113
-0.6666666666666666,-21.0,-56.914473339441685,0.11012387275695801
0.0,-21.0,-56.914473339441685,0.11217951774597168
0.0,-20.666666666666664,-56.914473339441685,0.11399722099304199
0.3333333333333333,-20.666666666666664,-56.914473339441685,0.11580085754394531
0.6666666666666666,-20.666666666666664,-56.914473339441685,0.11760497093200684
1.0,-20.666666666666664,-56.914473339441685,0.1194000244140625
1.3333333333333333,-20.666666666666664,-142.23323652998354,0.1212303638458252
1.6666666666666665,-20.666666666666664,-142.23323652998354,0.12302875518798828
2.0,-20.333333333333332,-142.23323652998354,0.12482619285583496
2.0,-20.333333333333332,-142.23323652998354,0.12662768363952637
2.333333333333333,-20.333333333333332,-142.23323652998354,0.12842655181884766
2.6666666666666665,-20.333333333333332,-142.23323652998354,0.130218505859375
2.6666666666666665,-20.333333333333332,-146.96189382662212,0.13204002380371094
3.0,-20.333333333333332,-146.96189382662212,0.133836030960083
3.0,-20.333333333333332,-146.96189382662212,0.13567590713500977
3.333333333333333,-20.333333333333332,-146.96189382662212,0.13748669624328613
3.333333333333333,-20.333333333333332,-146.96189382662212,0.1392836570739746
3.6666666666666665,-20.333333333333332,-146.96189382662212,0.14107584953308105
3.6666666666666665,-20.333333333333332,-170.12895855193076,0.1428978443145752
3.6666666666666665,-20.333333333333332,-170.12895855193076,0.14469027519226074
4.0,-20.333333333333332,-170.12895855193076,0.14651155471801758
4.0,-20.333333333333332,-170.12895855193076,0.14831900596618652
